,m_obs,ace_value,ace_standard_error,q_ace_standard_error,ols_value,ols_standard_error,q_ols_standard_error,q,ace_circ,confidence_level
0,100,-0.0005240546794652023,0.10807410110125797,0.2118213458200062,-0.5624566004317805,0.08199518083101939,0.16070760133464704,1.959963984540054,0.0017737687669963642,0.05
1,215,0.002588216156168055,0.07366626952085636,0.14438323513629917,-0.5404408279488528,0.06662802365746961,0.13058852672972313,1.959963984540054,0.0017737687669963642,0.05
2,464,0.0012514697671373587,0.05750780427456302,0.11271322520812209,-0.4631703662076449,0.04072914401751246,0.07982765539546942,1.959963984540054,0.0017737687669963642,0.05
3,1000,-0.0012701163997954068,0.037918787353623154,0.07431945755053425,-0.522043354011987,0.028420172035012795,0.0557025136230575,1.959963984540054,0.0017737687669963642,0.05
4,2154,0.002774928099291196,0.02484388424935392,0.048693118364815595,-0.46297767145104357,0.01835793987552313,0.03598090098637706,1.959963984540054,0.0017737687669963642,0.05
5,4641,0.00951778036474532,0.017059296221188097,0.03343560619512891,-0.5000161086857629,0.01297915845317529,0.025438683117862165,1.959963984540054,0.0017737687669963642,0.05
6,10000,0.006620001235966511,0.011622276976781134,0.022779244292840086,-0.49126212824954213,0.008751315361097602,0.01715226292510344,1.959963984540054,0.0017737687669963642,0.05
7,21544,0.0025714538948004018,0.00794014372958208,0.015562395742052421,-0.5006555204577556,0.0059230866149641926,0.01160903644264108,1.959963984540054,0.0017737687669963642,0.05
8,46415,-0.005708779523660001,0.005489150706605749,0.010758537690659856,-0.5055674748459771,0.004038261807537787,0.007914847702917682,1.959963984540054,0.0017737687669963642,0.05
9,100000,-0.002962092188596943,0.003709221343415398,0.007269940243781456,-0.50208899410589,0.002730809929276528,0.0053522891100063665,1.959963984540054,0.0017737687669963642,0.05
